date,State,Type,Confirmed
Nov 1 2014,Northern Territory,A and B,0
Nov 1 2014,Northern Territory,Untyped,0
Nov 1 2014,Queensland,A(H1N1)pdm09,17
Nov 1 2014,Queensland,A(H3N2),46
Nov 1 2014,Queensland,A(unsubtyped),151
Nov 1 2014,Queensland,B,86
Nov 1 2014,Queensland,C,0
Nov 1 2014,Queensland,A and B,0
Nov 1 2014,Queensland,Untyped,0
Nov 1 2014,South Australia,A(H1N1)pdm09,0
Nov 1 2014,South Australia,A(H3N2),0
Nov 1 2014,South Australia,A(unsubtyped),293
Nov 1 2014,South Australia,B,61
Nov 1 2014,South Australia,C,0
Nov 1 2014,South Australia,A and B,0
Nov 1 2014,South Australia,Untyped,0
Nov 1 2014,Tasmania,A(H1N1)pdm09,0
Nov 1 2014,Tasmania,A(H3N2),2
Nov 1 2014,Tasmania,A(unsubtyped),6
Nov 1 2014,Tasmania,B,0
Nov 1 2014,Tasmania,C,0
Nov 1 2014,Tasmania,A and B,0
Nov 1 2014,Tasmania,Untyped,0
Nov 1 2014,Victoria,A(H1N1)pdm09,1
Nov 1 2014,Victoria,A(H3N2),1
Nov 1 2014,Victoria,A(unsubtyped),142
Nov 1 2014,Victoria,B,77
Nov 1 2014,Victoria,C,0
Nov 1 2014,Victoria,A and B,2
Nov 1 2014,Victoria,Untyped,0
Nov 1 2014,Western Australia,A(H1N1)pdm09,4
Nov 1 2014,Western Australia,A(H3N2),14
Nov 1 2014,Western Australia,A(unsubtyped),70
Nov 1 2014,Western Australia,B,60
Nov 1 2014,Western Australia,C,0
Nov 1 2014,Western Australia,A and B,0
Nov 1 2014,Western Australia,Untyped,0
Des 1 2014,New South Wales,A(H1N1)pdm09,2
Des 1 2014,New South Wales,A(H3N2),42
Des 1 2014,New South Wales,A(unsubtyped),111
Des 1 2014,New South Wales,B,64
Des 1 2014,New South Wales,C,0
Des 1 2014,New South Wales,A and B,1
Des 1 2014,New South Wales,Untyped,0
Des 1 2014,Northern Territory,A(H1N1)pdm09,8
Des 1 2014,Northern Territory,A(H3N2),0
Des 1 2014,Northern Territory,A(unsubtyped),18
Des 1 2014,Northern Territory,B,8
Des 1 2014,Northern Territory,C,0
Des 1 2014,Northern Territory,A and B,0
Des 1 2014,Northern Territory,Untyped,0
Des 1 2014,Queensland,A(H1N1)pdm09,7
Des 1 2014,Queensland,A(H3N2),122
Des 1 2014,Queensland,A(unsubtyped),132
Des 1 2014,Queensland,B,78
Des 1 2014,Queensland,C,0
Des 1 2014,Queensland,A and B,0
Des 1 2014,Queensland,Untyped,0
Des 1 2014,South Australia,A(H1N1)pdm09,0
Des 1 2014,South Australia,A(H3N2),0
Des 1 2014,South Australia,A(unsubtyped),101
Des 1 2014,South Australia,B,11
Des 1 2014,South Australia,C,0
Des 1 2014,South Australia,A and B,0
Des 1 2014,South Australia,Untyped,0
Des 1 2014,Tasmania,A(H1N1)pdm09,2
Des 1 2014,Tasmania,A(H3N2),0
Des 1 2014,Tasmania,A(unsubtyped),11
Des 1 2014,Tasmania,B,3
Des 1 2014,Tasmania,C,0
Des 1 2014,Tasmania,A and B,0
Des 1 2014,Tasmania,Untyped,0
Des 1 2014,Victoria,A(H1N1)pdm09,0
Des 1 2014,Victoria,A(H3N2),1
Des 1 2014,Victoria,A(unsubtyped),126
Des 1 2014,Victoria,B,65
Des 1 2014,Victoria,C,0
Des 1 2014,Victoria,A and B,1
Des 1 2014,Victoria,Untyped,0
Des 1 2014,Western Australia,A(H1N1)pdm09,6
Des 1 2014,Western Australia,A(H3N2),23
Des 1 2014,Western Australia,A(unsubtyped),56
Des 1 2014,Western Australia,B,25
Des 1 2014,Western Australia,C,0
Des 1 2014,Western Australia,A and B,0
Des 1 2014,Western Australia,Untyped,0
Jan 1 2015,New South Wales,A(H1N1)pdm09,14
Jan 1 2015,New South Wales,A(H3N2),86
Jan 1 2015,New South Wales,A(unsubtyped),145
Jan 1 2015,New South Wales,B,58
Jan 1 2015,New South Wales,C,0
Jan 1 2015,New South Wales,A and B,1
Jan 1 2015,New South Wales,Untyped,0
Jan 1 2015,Northern Territory,A(H1N1)pdm09,6
Jan 1 2015,Northern Territory,A(H3N2),2
Jan 1 2015,Northern Territory,A(unsubtyped),5
Jan 1 2015,Northern Territory,B,5
Jan 1 2015,Northern Territory,C,0
Jan 1 2015,Northern Territory,A and B,0
Jan 1 2015,Northern Territory,Untyped,0
Jan 1 2015,Queensland,A(H1N1)pdm09,16
Jan 1 2015,Queensland,A(H3N2),182
Jan 1 2015,Queensland,A(unsubtyped),248
Jan 1 2015,Queensland,B,74
Jan 1 2015,Queensland,C,0
Jan 1 2015,Queensland,A and B,0
Jan 1 2015,Queensland,Untyped,0
Jan 1 2015,South Australia,A(H1N1)pdm09,1
Jan 1 2015,South Australia,A(H3N2),0
Jan 1 2015,South Australia,A(unsubtyped),106
Jan 1 2015,South Australia,B,22
Jan 1 2015,South Australia,C,0
Jan 1 2015,South Australia,A and B,0
Jan 1 2015,South Australia,Untyped,0
Jan 1 2015,Tasmania,A(H1N1)pdm09,0
Jan 1 2015,Tasmania,A(H3N2),1
Jan 1 2015,Tasmania,A(unsubtyped),5
Jan 1 2015,Tasmania,B,0
Jan 1 2015,Tasmania,C,0
Jan 1 2015,Tasmania,A and B,0
Jan 1 2015,Tasmania,Untyped,0
